gene,contribution
Amillepora18011,4.9991585008464105e-6
Amillepora18010,2.3053299571444397e-5
Amillepora18012,2.213988392143664e-5
Amillepora18013,1.6100078980258604e-5
Amillepora18017,1.602557014507619e-4
Amillepora18018,3.4159947315199466e-5
Amillepora18016,1.5727112532319378e-4
Amillepora18023,2.6181021994707835e-5
Amillepora18022,3.538308574373128e-6
Amillepora18020,1.6596696842939165e-6
Amillepora18021,5.650558831297659e-5
Amillepora18019,7.222683976053548e-5
Amillepora18030,8.940377111308965e-5
Amillepora18024,1.2701642035961504e-4
Amillepora18029,5.214723531473858e-6
Amillepora18027,2.945765156802514e-5
Amillepora18041,5.9166008554534884e-5
Amillepora18034,3.9487991501428825e-6
Amillepora18037,8.46284275853417e-5
Amillepora18035,3.6405664134540265e-5
Amillepora18050,1.0013066421864977e-4
Amillepora18045,2.3083817790092327e-5
Amillepora18046,2.144725209646348e-5
Amillepora18042,2.222940210357951e-4
Amillepora18043,1.1946528099804406e-5
Amillepora18055,1.866133712175076e-5
Amillepora18047,6.75967068804064e-5
Amillepora18048,5.611292279530945e-6
Amillepora18051,3.2866062362270614e-5
Amillepora18054,4.1384711759048137e-7
Amillepora18052,1.0686265174681394e-4
Amillepora18059,2.1834241034944912e-7
Amillepora18056,3.312057903659766e-5
Amillepora18064,2.1153144210436317e-4
Amillepora18063,0.0011154545765403113
Amillepora18061,6.96487408417498e-5
Amillepora18067,6.33524433060311e-5
Amillepora18065,6.8900402151537415e-6
Amillepora18060,6.651882357366387e-6
Amillepora18069,1.2001344492844794e-5
Amillepora18068,5.081163913635107e-6
Amillepora18076,1.1630495289137452e-4
Amillepora18075,3.1448571838546953e-4
Amillepora18074,1.9987565019419873e-5
Amillepora18081,1.3194072070525826e-4
Amillepora18072,2.365456614762968e-5
Amillepora18079,8.51324310584497e-5
Amillepora18082,8.83219603349935e-7
Amillepora18078,2.5760863542977933e-5
Amillepora18077,8.368869662172649e-6
Amillepora18080,1.077855045814658e-5
Amillepora18070,3.364813406707778e-5
Amillepora18071,1.2143724867261722e-4
Amillepora18085,3.857226404367411e-6
Amillepora18083,2.185127859400113e-5
Amillepora18087,1.5320145336167749e-6
Amillepora18090,1.536769814903017e-6
Amillepora18088,4.467483830144731e-7
Amillepora18099,2.0063113269296027e-7
Amillepora18098,1.9214349154032996e-5
Amillepora18108,1.1705880810716751e-5
Amillepora18110,1.2583509669500715e-5
Amillepora18112,3.0489938270871e-7
Amillepora18116,6.2528857310526955e-6
Amillepora18124,1.2425493000743722e-8
Amillepora18125,8.907513225893072e-6
Amillepora18133,1.2385221538281993e-4
Amillepora18135,1.2274844530127496e-5
Amillepora18126,6.76344341852947e-8
Amillepora18130,7.209706895747866e-7
Amillepora18127,3.522164454124634e-5
Amillepora18131,1.5446697390452855e-5
Amillepora18134,7.438471964071524e-8
Amillepora18128,5.308185929390874e-10
Amillepora18137,5.07592391170279e-7
Amillepora18136,3.5613837378130988e-6
Amillepora18139,1.818986523678107e-4
Amillepora18143,3.929743935375852e-6
Amillepora18142,6.585522241789008e-7
Amillepora18141,2.0525990611792632e-5
Amillepora18154,5.735742162548846e-5
Amillepora18150,2.4770956538728548e-8
Amillepora18151,1.907630145640624e-5
Amillepora18152,4.30993471681422e-5
Amillepora18148,1.7058307435980784e-4
Amillepora18145,8.08766010029707e-4
Amillepora18144,2.7830586456535443e-6
Amillepora18146,0.00033531207744333553
Amillepora18166,3.731497527894698e-6
Amillepora18162,3.5232650987700507e-4
Amillepora18165,6.270513577771439e-5
Amillepora18159,1.429933114420155e-4
Amillepora18158,1.779749148931277e-5
Amillepora18157,1.7657305705889646e-5
Amillepora18164,3.704613118076807e-5
Amillepora18169,1.1146900813621663e-8
Amillepora18167,7.797804727753492e-8
Amillepora18168,8.894652465581407e-6
Amillepora18172,6.0213617454111245e-5
Amillepora18180,3.346192818826658e-5
Amillepora18179,2.961285240635189e-4
Amillepora18183,1.0208352425725265e-5
Amillepora18176,3.6204999121348976e-5
Amillepora18182,9.596200169718855e-5
Amillepora18175,1.244364792695528e-6
Amillepora18189,1.0468839826434897e-4
Amillepora18186,3.2071020256223015e-7
Amillepora18190,6.814382277609553e-5
Amillepora18187,9.19531628142352e-5
Amillepora18188,9.635490963845567e-7
Amillepora18184,6.847668858656022e-5
Amillepora18185,6.431686424508117e-5
Amillepora18195,4.2980370563491064e-5
Amillepora18196,1.5081254717428328e-6
Amillepora18194,2.5025888887177377e-5
Amillepora18191,9.804230389713624e-5
Amillepora18199,4.714660441999714e-5
Amillepora18198,5.1648722158356495e-5
Amillepora18210,3.3179506335703477e-6
Amillepora18207,1.8164260184498116e-8
Amillepora18240,2.6803926061276736e-6
Amillepora18239,8.229729340317577e-9
Amillepora18242,1.190559302556494e-5
Amillepora18220,6.369876285475094e-5
Amillepora18241,4.4019078765410306e-7
Amillepora18247,1.8787372319274513e-5
Amillepora18245,4.283740960330068e-5
Amillepora18244,1.8692869709870744e-6
Amillepora18258,1.05229313624226e-5
Amillepora18254,1.941270764365791e-5
Amillepora18259,5.866505963778472e-7
Amillepora18249,4.857107411786589e-5
Amillepora18248,9.380923985917897e-6
Amillepora18253,1.1703412385423954e-5
Amillepora18261,4.740419114642478e-6
Amillepora18260,1.7503974849630466e-7
Amillepora18269,1.0292929225891512e-4
Amillepora18267,8.938908116484327e-5
Amillepora18265,1.2038431292904298e-4
Amillepora18288,3.5633578727820165e-5
Amillepora18293,7.522502438447472e-5
Amillepora18297,6.80484005509376e-5
Amillepora18301,5.6087560051462385e-6
Amillepora18292,2.1366576265898166e-6
Amillepora18296,7.464126134710472e-6
Amillepora18295,2.632938121117934e-5
Amillepora18300,1.2777762020479555e-6
Amillepora18310,4.142654847564994e-5
Amillepora18302,2.9176908408442973e-4
Amillepora18309,9.493502507374045e-5
Amillepora18308,2.6896241854083315e-4
Amillepora18314,1.699975457754924e-5
Amillepora18317,3.3312316593137356e-6
Amillepora18315,1.9002328069305316e-5
Amillepora18324,1.3952860022821965e-6
Amillepora18322,1.1981892926281903e-6
Amillepora18319,3.191287827063371e-5
Amillepora18320,9.358522469817494e-7
Amillepora18323,8.484885838631417e-6
Amillepora18321,1.069134698976384e-5
Amillepora18329,4.3874102070679787e-7
Amillepora18327,6.077618656548436e-6
Amillepora18326,3.0086028397498006e-5
Amillepora18328,1.863322433193738e-8
Amillepora18331,4.680045051423243e-5
Amillepora18325,1.3397197389547743e-4
